Province,Year,Region,Regional GDP,Secondary industry value added,Tertiary industry value added from Long,GDP per capita from Long,Industrial value added from Long,Total electricity generation,Population,Hydropower generation from Long,Raw coal production from Long,Non fossil electricity generation,SO2 emissions,Natural gas production from Long,Total apparent CO2 emissions (mt),Total energy consumption
青海省,1993,西部地区,109.68,43.04,44.43,2365.0,31.58,68.28,467.0,53.12,231.5,53.12,2.0,0.46,,559.98
吉林省,1994,东北地区,937.73,396.91,281.42,3657.0,354.7,260.0,2515.6,61.44,2474.82,61.44,,2.16,,3856.5
辽宁省,1994,东北地区,2461.8,1255.2,892.1,6103.0,1109.8,504.0,4067.0,18.5,5509.3,18.5,,21.2,,9204.6
黑龙江,1994,东北地区,1452.8,803.6,350.5,3974.0,764.3,382.0,3672.0,8.0,7695.0,8.0,23.0,23.2,,5745.1
上海市,1994,东部地区,1999.9,1139.86,813.62,14400.0,1074.37,401.12,1356.0,,85.35,,,,,4176.64
北京市,1994,东部地区,1149.8,512.7,570.3,10280.0,413.4,131.14,1125.0,2.39,1008.5,2.39,,,,3385.9
天津市,1994,东部地区,736.31,414.95,274.81,7905.0,371.43,122.47,935.0,0.22,589.0,0.22,,7.84,,2345.1
山东省,1994,东部地区,3844.5,1891.43,1178.04,4441.0,1692.1,678.0,8671.0,0.77,7800.0,0.77,225.0,13.07,,
广东省,1994,东部地区,4650.16,2249.99,1707.92,6574.0,1865.44,771.0,6689.0,119.0,918.63,119.0,,,,6728.3
江苏省,1994,东部地区,4057.39,2186.77,1186.64,5801.0,2002.22,631.9,7020.54,0.41,2503.44,0.41,98.3,0.23,,7357.7
河北省,1994,东部地区,2114.5,983.1,679.5,3324.0,856.4,550.0,6387.71,13.65,6825.0,13.65,,3.32,,8168.62
浙江省,1994,东部地区,2700.74,1395.61,866.48,6210.0,1243.37,331.92,4341.2,62.0,132.2,62.0,,,,4496.67
海南省,1994,东部地区,331.98,83.32,142.54,4702.0,44.56,29.0,711.0,10.0,1.5,10.0,,,,278.71
福建省,1994,东部地区,1653.94,718.31,584.39,5223.0,618.06,229.0,3183.0,121.03,977.38,121.03,,,,1953.54
安徽省,1994,中部地区,1378.9,540.3,499.3,2354.0,449.2,298.29,5955.0,12.28,4054.0,12.28,,,,3738.14
山西省,1994,中部地区,826.66,396.57,306.25,2729.0,347.18,457.0,3045.0,7.28,32400.0,7.28,,0.54,,5200.3
江西省,1994,中部地区,948.16,338.23,295.58,2376.0,269.16,171.0,4015.4459,51.04,2300.0,51.04,,,,2071.5
河南省,1994,中部地区,2228.45,1053.35,645.67,2480.0,948.8,485.46,9027.0,17.1,9618.0,17.1,,12.4,,6225.0
湖北省,1994,中部地区,1700.92,655.47,544.01,2991.0,580.8,427.14,5718.81,245.0,1150.6,245.0,,0.78,,5239.2
湖南省,1994,中部地区,1650.02,589.72,527.41,2630.0,499.97,292.35,6355.0,143.25,4863.84,143.25,,,,
云南省,1994,西部地区,983.78,428.68,318.85,2515.0,383.91,203.43,3939.2,127.16,2600.0,127.16,,1.61,,2282.8
内蒙古,1994,西部地区,695.06,254.52,232.01,3094.0,205.98,261.27,2260.5,1.55,6052.0,1.55,,,,2812.19
四川省,1994,西部地区,2001.41,782.77,621.27,2338.0,676.09,525.18,11214.0,210.0,8796.4,210.0,,75.19,,5364.0
宁夏,1994,西部地区,136.26,56.01,50.31,2740.0,46.34,97.3,504.0,10.26,1400.0,10.26,,0.4,,740.8
广西,1994,西部地区,1198.29,469.81,394.69,2675.0,404.59,187.0,4493.0,115.3,1200.0,115.3,,,,2047.95
新疆,1994,西部地区,662.3,243.4,240.2,3888.0,190.0,106.17,1632.0,22.0,2633.3,22.0,,9.06,,2605.7
甘肃省,1994,西部地区,453.61,198.67,151.07,1917.0,174.56,249.0,2387.25,106.3,2100.0,106.3,,0.54,,2683.6
西藏,1994,西部地区,46.0,7.9,17.6,1964.0,3.4,4.46,236.0,2.83,0.89,2.83,,,,
贵州省,1994,西部地区,526.33,194.8,148.01,1533.0,173.03,197.21,3458.0,57.78,5128.0,57.78,76.89,1.6,,2819.7
重庆市,1994,西部地区,840.9,379.43,265.28,2961.0,341.74,124.36,2985.59,,2841.32,,,41.87,,1456.27
陕西省,1994,西部地区,844.01,364.4,307.8,2438.0,307.46,222.41,3481.0,30.77,3714.0,30.77,,0.22,,2599.02
青海省,1994,西部地区,138.4,48.9,57.1,2942.0,37.25,73.13,474.0,57.0,264.0,57.0,,0.67,,625.38
吉林省,1995,东北地区,1137.23,475.22,358.02,4402.0,413.85,284.6,2550.9,83.16,2644.31,83.16,32.0,1.83,,3954.2
辽宁省,1995,东北地区,2793.4,1385.8,1021.4,6880.0,1233.4,540.1,4092.0,41.7,5626.4,41.7,109.0,21.1,,9381.7
黑龙江,1995,东北地区,1797.0,992.5,441.0,4874.0,949.1,388.0,3701.0,6.69,7938.0,6.69,34.0,25.91,,5935.0
上海市,1995,东部地区,2535.0,1419.92,1056.76,18000.0,1318.93,403.0,1415.0,,111.0,,49.0,,,4392.49
北京市,1995,东部地区,1516.2,638.3,805.7,12762.0,520.7,132.0,1251.0,3.18,1000.0,3.18,38.0,,,3533.3
天津市,1995,东部地区,936.5,518.55,357.15,9979.0,467.93,134.0,942.0,0.21,600.0,0.21,33.0,7.57,,2569.0
山东省,1995,东部地区,4953.35,2355.78,1587.44,5701.0,2098.06,739.0,8705.0,0.4,8827.27,0.4,232.0,12.85,,8780.0
广东省,1995,东部地区,5983.79,2901.99,2217.31,8199.0,2454.87,821.0,6868.0,131.1,1069.4,131.1,75.31,1.03,,7344.82
江苏省,1995,东部地区,5155.25,2715.26,1573.75,7319.0,2467.63,700.41,7066.02,0.35,2650.72,0.35,92.0,0.19,,8047.0
河北省,1995,东部地区,2701.2,1198.1,871.7,4212.0,1043.2,607.0,6436.51,12.63,8108.31,12.63,116.0,3.49,,8892.41
浙江省,1995,东部地区,3580.19,1856.32,1173.92,8181.0,1650.6,401.0,4369.63,78.25,125.27,78.25,54.0,,,4851.26
海南省,1995,东部地区,363.25,78.48,155.87,5063.0,44.04,32.0,724.0,11.32,1.46,11.32,2.0,,,309.33
福建省,1995,东部地区,2108.57,879.12,779.68,6579.0,748.92,262.0,3237.0,154.91,1134.18,154.91,17.0,,,2279.91
安徽省,1995,中部地区,1891.2,659.5,647.5,3202.0,540.9,310.0,6013.0,11.39,4444.19,11.39,49.0,,,4194.0
山西省,1995,中部地区,1076.03,494.45,412.89,3515.0,438.5,506.0,3077.0,7.11,34731.0,7.11,101.0,0.47,,8413.0
江西省,1995,中部地区,1169.73,403.74,391.35,2896.0,314.49,176.0,4062.5406,55.13,2877.9,55.13,36.0,,,2391.7
河南省,1995,中部地区,3004.31,1387.65,877.75,3315.0,1256.5,548.0,9100.0,15.64,10334.0,15.64,66.0,11.38,,6473.0
湖北省,1995,中部地区,2109.38,777.64,711.97,3671.0,680.92,453.0,5772.07,258.82,1533.31,258.82,54.0,0.76,,5655.0
湖南省,1995,中部地区,2132.13,770.67,676.16,3359.0,658.67,333.0,6392.0,157.97,5564.51,157.97,56.0,,,5426.0
云南省,1995,西部地区,1222.15,534.78,384.68,3083.0,480.95,228.0,3989.6,162.05,2803.2,162.05,36.0,1.81,,2640.55
内蒙古,1995,西部地区,857.06,308.78,288.1,3772.0,254.88,278.54,2284.4,1.43,7055.0,1.43,74.0,,,3268.4
四川省,1995,西部地区,2443.21,980.91,799.84,3043.0,843.23,576.0,11325.0,259.79,9560.75,259.79,223.0,76.64,,9525.0
宁夏,1995,西部地区,175.19,74.67,65.11,3448.0,63.37,108.0,512.3845,9.3,1480.3,9.3,23.0,0.62,,775.2
广西,1995,西部地区,1497.56,535.86,508.55,3304.0,461.25,217.0,4543.0,138.3,1391.42,138.3,76.0,,,2256.52
新疆,1995,西部地区,814.9,277.4,308.3,4701.0,219.0,120.0,1661.0,22.82,2721.0,22.82,35.0,11.81,,2830.0
甘肃省,1995,西部地区,557.76,256.83,190.28,2312.0,226.29,238.0,2437.95,96.18,2466.13,96.18,42.0,1.13,,2737.59
西藏,1995,西部地区,56.1,13.2,20.0,2358.0,4.1,5.0,240.0,3.04,,3.04,,,,
贵州省,1995,西部地区,638.53,232.52,178.95,1833.0,208.75,232.0,3508.0,114.9,5509.7,114.9,56.69,1.81,,3183.0
重庆市,1995,西部地区,1134.93,497.13,373.61,3973.0,439.66,127.62,3002.0,,3104.83,,,45.0,,1525.1
陕西省,1995,西部地区,1042.79,441.67,383.85,2982.0,377.91,237.0,3513.0,25.43,4248.0,25.43,80.0,0.22,,3134.0
青海省,1995,西部地区,167.8,53.15,75.03,3513.0,40.19,60.0,481.0,42.57,278.0,42.57,3.0,0.64,,687.71
吉林省,1996,东北地区,1346.79,537.05,433.73,5178.0,471.34,294.0,2579.1,60.91,2600.0,60.91,,2.1,,4032.7
辽宁省,1996,东北地区,3157.7,1532.9,1158.6,7730.0,1379.1,583.9,4116.0,45.2,6040.6,45.2,,19.6,,9417.6
黑龙江,1996,东北地区,2145.6,1205.4,505.3,5776.0,1160.0,410.3,3728.0,5.11,8147.4,5.11,24.0,23.33,,6270.5
上海市,1996,东部地区,3004.16,1598.74,1338.42,21000.0,1466.12,428.64,1419.0,,140.51,,,,,4552.86
北京市,1996,东部地区,1819.4,709.2,1035.2,14495.0,570.0,141.89,1259.0,8.43,1014.0,8.43,,,,3734.5
天津市,1996,东部地区,1128.26,609.1,451.49,11939.0,549.81,146.04,948.0,0.22,646.6,0.22,,7.58,,2500.22
山东省,1996,东部地区,5883.8,2784.09,1899.54,6746.0,2475.99,793.03,8738.0,0.8,8949.4,0.8,,11.91,,9163.0
