Province,Year,Year imputed,Region imputed,Regional GDP imputed,Secondary industry value added imputed,Tertiary industry value added from Long imputed,Industrial value added from Long imputed,Total electricity generation imputed,Population imputed,Hydropower generation from Long imputed,Raw coal production from Long imputed,Non fossil electricity generation imputed,SO2 emissions imputed,Natural gas production from Long imputed,Total apparent CO2 emissions (mt) imputed
宁夏,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
广西,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
新疆,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
甘肃省,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
西藏,1997,False,False,False,False,False,False,False,False,False,False,False,True,True,True
贵州省,1997,False,False,False,False,False,False,False,False,False,False,False,False,False,False
重庆市,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
陕西省,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
青海省,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
吉林省,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
辽宁省,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
黑龙江,1998,False,False,False,False,False,False,False,False,False,False,False,False,False,False
上海市,1998,False,False,False,False,False,False,False,False,True,True,True,True,True,False
北京市,1998,False,False,False,False,False,False,False,False,False,False,False,True,True,False
天津市,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
山东省,1998,False,False,False,False,False,False,False,False,False,False,False,False,False,False
广东省,1998,False,False,False,False,False,False,False,False,False,False,False,False,False,False
江苏省,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
河北省,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
浙江省,1998,False,False,False,False,False,False,False,False,False,False,False,True,True,False
海南省,1998,False,False,False,False,False,False,False,False,False,False,False,True,True,False
福建省,1998,False,False,False,False,False,False,False,False,False,False,False,True,True,False
安徽省,1998,False,False,False,False,False,False,False,False,False,False,False,True,True,False
山西省,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
江西省,1998,False,False,False,False,False,False,False,False,False,False,False,True,True,False
河南省,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
湖北省,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
湖南省,1998,False,False,False,False,False,False,False,False,False,False,False,True,True,False
云南省,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
内蒙古,1998,False,False,False,False,False,False,False,False,False,False,False,True,True,False
四川省,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
宁夏,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
广西,1998,False,False,False,False,False,False,False,False,False,False,False,True,True,False
新疆,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
甘肃省,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
西藏,1998,False,False,False,False,False,False,False,False,False,False,False,True,True,True
贵州省,1998,False,False,False,False,False,False,False,False,False,False,False,False,False,False
重庆市,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
陕西省,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
青海省,1998,False,False,False,False,False,False,False,False,False,False,False,True,False,False
吉林省,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
辽宁省,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
黑龙江,1999,False,False,False,False,False,False,False,False,False,False,False,False,False,False
上海市,1999,False,False,False,False,False,False,False,False,True,True,True,True,True,False
北京市,1999,False,False,False,False,False,False,False,False,False,False,False,True,True,False
天津市,1999,False,False,False,False,False,False,False,False,False,True,False,True,False,False
山东省,1999,False,False,False,False,False,False,False,False,False,False,False,False,False,False
广东省,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
江苏省,1999,False,False,False,False,False,False,False,False,False,False,False,False,False,False
河北省,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
浙江省,1999,False,False,False,False,False,False,False,False,False,False,False,True,True,False
海南省,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
福建省,1999,False,False,False,False,False,False,False,False,False,False,False,True,True,False
安徽省,1999,False,False,False,False,False,False,False,False,False,False,False,True,True,False
山西省,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
江西省,1999,False,False,False,False,False,False,False,False,False,False,False,True,True,False
河南省,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
湖北省,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
湖南省,1999,False,False,False,False,False,False,False,False,False,False,False,True,True,False
云南省,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
内蒙古,1999,False,False,False,False,False,False,False,False,False,False,False,True,True,False
四川省,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
宁夏,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
广西,1999,False,False,False,False,False,False,False,False,False,False,False,True,True,False
新疆,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
甘肃省,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
西藏,1999,False,False,False,False,False,False,False,False,False,False,False,True,True,True
贵州省,1999,False,False,False,False,False,False,False,False,False,False,False,False,False,False
重庆市,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
陕西省,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
青海省,1999,False,False,False,False,False,False,False,False,False,False,False,True,False,False
吉林省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
辽宁省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
黑龙江,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
上海市,2000,False,False,False,False,False,False,False,False,True,True,True,False,False,False
北京市,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
天津市,2000,False,False,False,False,False,False,False,False,False,True,False,False,False,False
山东省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
广东省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
江苏省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
河北省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
浙江省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
海南省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
福建省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
安徽省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
山西省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
江西省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
河南省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
湖北省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
湖南省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
云南省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
内蒙古,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
四川省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
宁夏,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
广西,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
新疆,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
甘肃省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
西藏,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,True
贵州省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
重庆市,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
陕西省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
青海省,2000,False,False,False,False,False,False,False,False,False,False,False,False,False,False
吉林省,2001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
辽宁省,2001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
黑龙江,2001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
上海市,2001,False,False,False,False,False,False,False,False,True,True,True,False,False,False
北京市,2001,False,False,False,False,False,False,False,False,False,False,False,False,True,False
天津市,2001,False,False,False,False,False,False,False,False,False,True,False,False,False,False
山东省,2001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
广东省,2001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
江苏省,2001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
河北省,2001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
浙江省,2001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
海南省,2001,False,False,False,False,False,False,False,False,False,False,False,False,True,False
福建省,2001,False,False,False,False,False,False,False,False,False,False,False,False,True,False
安徽省,2001,False,False,False,False,False,False,False,False,False,False,False,False,True,False
山西省,2001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
江西省,2001,False,False,False,False,False,False,False,False,False,False,False,False,True,False
河南省,2001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
湖北省,2001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
湖南省,2001,False,False,False,False,False,False,False,False,False,False,False,False,True,False
云南省,2001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
内蒙古,2001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
四川省,2001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
宁夏,2001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
